date,loc,count,source,SFIPS,SFIPS,CFIPS,CFIPS,PLFIPS,GNIS-ID-maybe,unclear11,pop1990,pop2000,Name,State-abb,State,unclear17,unclear18,unclear19,unclear20,unclear21,unclear22,unclear23,unclear24,unclear25,Long,Lat
2/28/2013,Minneapolis,13,http://blogs.citypages.com/blotter/2013/02/13_occupy_homes_protestors_arrested_at_week_of_action_rally_on_i-35_bridge_images.php,27,27,053,053,43000,655030,850,368383,382618,MINNEAPOLIS,MN,MINNESOTA,1,b'             ',1,0,8610,8610,0,b'             ',0,-93.2668,44.9618
10/25/2012,Oakland,2,http://www.wsbtv.com/news/news/local/occupy-atlanta-arrested-foreclosed-home/nTTZg/,06,06,001,001,53000,0600153,b'           ',372242,399484,OAKLAND,CA,CALIFORNIA,1,b'             ',1,0,8680,8680,0,b'             ',0,-122.2245,37.7715
10/17/2012,Des Moines,5,http://latimesblogs.latimes.com/lanow/2012/11/occupy-protesters-arrested-at-speech-by-mexico-leader.html,19,19,153,153,21000,465961,864,193187,198682,DES MOINES,IA,IOWA,1,b'             ',1,0,9550,9550,0,b'             ',0,-93.6174,41.5767
10/9/2012,Charlotte,1,http://blogs.laweekly.com/informer/2012/11/occupy_century_city_deutsche_bank_arrests_lapd.php,37,37,119,119,12000,996534,745,395934,540828,UNC CHARLOTTE,NC,NORTH CAROLINA,1,b'             ',1,0,3000,3000,0,b'             ',0,-80.7291,35.3025
10/6/2012,San Francisco,22,http://www.jsonline.com/news/milwaukee/march-to-protest-death-in-police-custody-ends-in-four-arrests-c87k34k-179026431.html,06,06,075,075,b'       ',277593,52,0,b'            ',SAN FRANCISCO,CA,CALIFORNIA,1,b'             ',1,0,13080,13080,0,b'             ',0,-122.41942,37.77493
10/6/2012,Austin,3,http://www.kgw.com/news/Police-arrest-Nov-3-Occupy-Portland-protester-178715361.html,48,48,453,453,05000,1384879,b'           ',465622,656562,AUSTIN,TX,TEXAS,1,b'             ',1,0,13430,13430,0,b'             ',0,-97.7505,30.3059
9/27/2012,San Francisco,39,http://sanfrancisco.cbslocal.com/2012/10/26/2-arrested-in-occupy-oakland-anniversary-march/,06,06,075,075,b'       ',277593,52,0,b'            ',SAN FRANCISCO,CA,CALIFORNIA,1,b'             ',1,0,13080,13080,0,b'             ',0,-122.41942,37.77493
9/17/2012,New York,185,http://blogs.desmoinesregister.com/dmr/index.php/2012/10/17/live-coverage-occupy-activists-at-world-food-prize-event/article?gcheck=1&nclick_check=1,36,36,017,017,b'       ',946252,112,0,8008278,NEW YORK,NY,NEW YORK,b'             ',b'             ',b'              ',0,0,0,0,b'             ',0,-73.96542,40.78232
9/16/2012,New York,2,http://www.wcnc.com/news/local/Occupy-protester-arrested-for-camping-in-uptown-173257911.html,36,36,017,017,b'       ',946252,112,0,8008278,NEW YORK,NY,NEW YORK,b'             ',b'             ',b'              ',0,0,0,0,b'             ',0,-73.96542,40.78232
9/15/2012,New York,25,http://www.ktvu.com/news/news/local/sf-police-speak-out-against-video-showing-excessiv/nSXHM/,36,36,017,017,b'       ',946252,112,0,8008278,NEW YORK,NY,NEW YORK,b'             ',b'             ',b'              ',0,0,0,0,b'             ',0,-73.96542,40.78232
9/14/2012,Sebastopol,1,http://www.kxan.com/dpp/news/local/austin/kxan-austin-3-arrrested-following-occupy-atx-march-mr,06,06,097,097,70770,0609770,b'           ',7004,7774,SEBASTOPOL,CA,CALIFORNIA,2,b'             ',2,0,3970,3970,0,b'             ',0,-122.8259,38.3993
9/12/2012,Oxnard,9,http://www.sfgate.com/bayarea/article/Downtown-SF-says-adios-to-Occupy-camp-3898425.php,06,06,111,111,54652,0611154,b'           ',142216,170358,OXNARD,CA,CALIFORNIA,2,b'             ',2,0,8540,8540,0,b'             ',0,-119.2137,34.1974
9/5/2012,Kalamazoo,4,http://cityroom.blogs.nytimes.com/2012/09/17/protests-near-stock-exchange-on-occupy-wall-st-anniversary/,26,26,077,077,42160,629439,b'           ',80277,77145,KALAMAZOO,MI,MICHIGAN,1,b'             ',1,0,10000,6060,0,b'             ',0,-85.5883,42.2747
8/9/2012,Austin,2,http://codepink.org/article.php?id=6230,48,48,453,453,05000,1384879,b'           ',465622,656562,AUSTIN,TX,TEXAS,1,b'             ',1,0,13430,13430,0,b'             ',0,-97.7505,30.3059
8/2/2012,Philadelphia,5,http://online.wsj.com/article/SB10000872396390444517304577653820351290322.html?mod=googlenews_wsj,42,42,101,101,b'       ',1209052,b'           ',0,1209052,PHILADELPHIA,PA,PENNSYLVANIA,b'             ',b'             ',1,0,13080,0,0,b'             ',0,-75.1347,40.0068
8/1/2012,Portland,1,http://www.pressdemocrat.com/article/20120914/ARTICLES/120919742,41,41,051,051,59000,1136645,b'           ',437319,529121,PORTLAND DOWNTOWN,OR,OREGON,1,b'             ',1,0,4000,2840,0,b'             ',0,-122.68,45.52
7/21/2012,Rochester,18,"http://www.latimes.com/business/money/la-fi-mo-occupy-monsanto-arrests-oxnard-20120912,0,7798801.story",36,36,055,055,63000,962684,b'           ',231636,219773,ROCHESTER,NY,NEW YORK,1,b'             ',1,0,9630,9630,0,b'             ',0,-77.6158,43.1687
7/15/2012,Monte Rio,1,http://www.sfgate.com/news/article/Police-4-arrests-made-at-Occupy-Kalamazoo-camp-3840865.php#ixzz25i61LyzA,06,06,097,097,48928,1656174,200,1058,1104,MONTE RIO,CA,CALIFORNIA,3,b'             ',3,0,220,220,0,b'             ',0,-123.0123,38.4653
7/13/2012,Los Angeles,17,http://www.kutnews.org/post/arrested-chalking-occupy-austin-members-face-misdemeanor-charges,06,06,037,037,20802,1660583,261,126379,124283,EAST LOS ANGELES,CA,CALIFORNIA,3,b'             ',3,0,8470,8470,0,b'             ',0,-118.1686,34.0326
7/12/2012,New York,3,http://philadelphia.cbslocal.com/2012/08/02/jill-stein-arrested-in-philadelphia-during-bank-sit-in/,36,36,017,017,b'       ',946252,112,0,8008278,NEW YORK,NY,NEW YORK,b'             ',b'             ',b'              ',0,0,0,0,b'             ',0,-73.96542,40.78232
7/11/2012,Eugene,1,http://www.sfgate.com/news/article/Portland-demonstrators-leave-City-Hall-1-arrest-3754773.php,41,41,039,039,23850,1120527,419,112669,137893,EUGENE,OR,OREGON,1,b'             ',1,0,4000,2830,0,b'             ',0,-123.1122,44.053
7/6/2012,New York,3,http://www.democratandchronicle.com/article/20120721/NEWS01/307210065/Occupy-Rochester-arrest-east-avenue-protest?odyssey=nav%7Chead&nclick_check=1,36,36,017,017,b'       ',946252,112,0,8008278,NEW YORK,NY,NEW YORK,b'             ',b'             ',b'              ',0,0,0,0,b'             ',0,-73.96542,40.78232
7/4/2012,Oakland,1,http://sanfrancisco.cbslocal.com/2012/07/15/75-year-old-arrested-in-sonoma-county-at-occupy-bohemian-grove-protest/,06,06,001,001,53000,0600153,b'           ',372242,399484,OAKLAND,CA,CALIFORNIA,1,b'             ',1,0,8680,8680,0,b'             ',0,-122.2245,37.7715
7/2/2012,Philadelphia,26,"http://www.chicagotribune.com/news/sns-rt-us-usa-occupy-artbre86c0x2-20120713,0,2599551.story",42,42,101,101,b'       ',1209052,b'           ',0,1209052,PHILADELPHIA,PA,PENNSYLVANIA,b'             ',b'             ',1,0,13080,0,0,b'             ',0,-75.1347,40.0068
6/21/2012,Minneapolis,15,http://cityroom.blogs.nytimes.com/2012/07/12/at-least-3-arrested-at-zuccotti-park-after-occupy-march/,27,27,053,053,43000,655030,850,368383,382618,MINNEAPOLIS,MN,MINNESOTA,1,b'             ',1,0,8610,8610,0,b'             ',0,-93.2668,44.9618
6/14/2012,Albany,4,http://www.sfgate.com/news/article/1-arrest-as-most-Occupy-Eugene-members-leave-plaza-3700691.php,36,36,001,001,01000,977310,127,101082,95658,ALBANY,NY,NEW YORK,1,b'             ',1,0,9600,9600,0,b'             ',0,-73.7785,42.6606
6/7/2012,New York,9,http://blogs.villagevoice.com/runninscared/2012/07/three_arrests_a.php,36,36,017,017,b'       ',946252,112,0,8008278,NEW YORK,NY,NEW YORK,b'             ',b'             ',b'              ',0,0,0,0,b'             ',0,-73.96542,40.78232
6/7/2012,Milwaukee,5,http://www.mercurynews.com/occupy/ci_21012926/police-occupy-march-oakland-leaves-wake-vandalism?source=rss,55,55,079,079,75125,1574469,670,20958,21256,SOUTH MILWAUKEE,WI,WISCONSIN,1,b'             ',1,0,5890,5890,0,b'             ',0,-87.8622,42.9129
6/6/2012,Chicago,12,http://www.philly.com/philly/news/pennsylvania/20120702_Occupy_protesters_begin_filtering_out_of_jail.html,17,17,031,031,14000,423587,596,2783726,2896016,CHICAGO,IL,ILLINOIS,1,b'             ',1,0,13040,13040,0,b'             ',1397,-87.63,41.88
5/31/2012,Albany,6,http://www.startribune.com/blogs/159940415.html,36,36,001,001,01000,977310,127,101082,95658,ALBANY,NY,NEW YORK,1,b'             ',1,0,9600,9600,0,b'             ',0,-73.7785,42.6606
